INFO  | 2018-09-26 11:22:16 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:22:16 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://twitter.com/exitgetcom
INFO  | 2018-09-26 11:22:19 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://twitter.com/exitgetcom
INFO  | 2018-09-26 11:22:20 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:22:25 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:22:25 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://facebook.com/exitgetcom
INFO  | 2018-09-26 11:22:40 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://facebook.com/exitgetcom
INFO  | 2018-09-26 11:22:41 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:22:46 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:22:46 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:22:49 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:22:49 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: //div[@id='footerLinks2']/a
INFO  | 2018-09-26 11:22:49 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: //div[@id='footerLinks2']/a
INFO  | 2018-09-26 11:22:49 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: //div[@id='footerLinks2']/a
INFO  | 2018-09-26 11:22:49 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: //div[@id='footerLinks2']/a
INFO  | 2018-09-26 11:22:50 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com/about
INFO  | 2018-09-26 11:22:51 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com/about
INFO  | 2018-09-26 11:22:52 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/about
INFO  | 2018-09-26 11:22:57 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:22:57 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com/blog
INFO  | 2018-09-26 11:23:02 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com/blog
INFO  | 2018-09-26 11:23:02 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: //div[@class='blogMenuRecent']/h3
INFO  | 2018-09-26 11:23:02 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: //div[@class='blogMenuRecent']/h3
INFO  | 2018-09-26 11:23:02 | [main] ksergie.EventHandler (EventHandler.java:165) - We have got this text: Exitget Blog
INFO  | 2018-09-26 11:23:02 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/blog/index/blog_id/9/at/what_does_google_think_about_popups
INFO  | 2018-09-26 11:23:06 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:23:06 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com/pricing
INFO  | 2018-09-26 11:23:08 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com/pricing
INFO  | 2018-09-26 11:23:08 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/pricing
INFO  | 2018-09-26 11:23:11 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:23:11 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com/help
INFO  | 2018-09-26 11:23:14 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com/help
INFO  | 2018-09-26 11:23:14 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/help
INFO  | 2018-09-26 11:23:19 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:23:19 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com/contact
INFO  | 2018-09-26 11:23:21 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com/contact
INFO  | 2018-09-26 11:23:21 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/contact
INFO  | 2018-09-26 11:23:24 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:23:24 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:23:27 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:23:27 | [main] ksergie.MainPage (MainPage.java:277) - We are opening the https://exitget.com
INFO  | 2018-09-26 11:23:27 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: (//a[text()='GET STARTED'])[1]
INFO  | 2018-09-26 11:23:27 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: (//a[text()='GET STARTED'])[1]
INFO  | 2018-09-26 11:23:27 | [main] ksergie.EventHandler (EventHandler.java:138) - Just before beforeScript arguments[0].click();
INFO  | 2018-09-26 11:23:29 | [main] ksergie.EventHandler (EventHandler.java:65) - Inside the afterScript to, Script is arguments[0].click();
INFO  | 2018-09-26 11:23:29 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: (//a[text()='GET STARTED'])[1]
INFO  | 2018-09-26 11:23:34 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: (//a[text()='GET STARTED'])[1]
INFO  | 2018-09-26 11:23:34 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/signup/plan/none
INFO  | 2018-09-26 11:23:37 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:23:37 | [main] ksergie.MainPage (MainPage.java:280) - Click the Get Started 1 button
INFO  | 2018-09-26 11:23:37 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: (//a[text()='GET STARTED'])[2]
INFO  | 2018-09-26 11:23:37 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: (//a[text()='GET STARTED'])[2]
INFO  | 2018-09-26 11:23:37 | [main] ksergie.EventHandler (EventHandler.java:138) - Just before beforeScript arguments[0].click();
INFO  | 2018-09-26 11:23:39 | [main] ksergie.EventHandler (EventHandler.java:65) - Inside the afterScript to, Script is arguments[0].click();
INFO  | 2018-09-26 11:23:39 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: (//a[text()='GET STARTED'])[2]
INFO  | 2018-09-26 11:23:44 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: (//a[text()='GET STARTED'])[2]
INFO  | 2018-09-26 11:23:44 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/signup/plan/none
INFO  | 2018-09-26 11:23:46 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:23:46 | [main] ksergie.MainPage (MainPage.java:283) - Click the Get Started 2 button
INFO  | 2018-09-26 11:23:46 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: (//a[text()='SIGN UP'])[2]
INFO  | 2018-09-26 11:23:47 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: (//a[text()='SIGN UP'])[2]
INFO  | 2018-09-26 11:23:47 | [main] ksergie.EventHandler (EventHandler.java:138) - Just before beforeScript arguments[0].click();
INFO  | 2018-09-26 11:23:48 | [main] ksergie.EventHandler (EventHandler.java:65) - Inside the afterScript to, Script is arguments[0].click();
INFO  | 2018-09-26 11:23:48 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: (//a[text()='SIGN UP'])[2]
INFO  | 2018-09-26 11:23:53 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: (//a[text()='SIGN UP'])[2]
INFO  | 2018-09-26 11:23:53 | [main] ksergie.EventHandler (EventHandler.java:100) - Just before beforeNavigateBack https://exitget.com/signup/plan/none
INFO  | 2018-09-26 11:23:56 | [main] ksergie.EventHandler (EventHandler.java:37) - Inside the after navigateback to https://exitget.com/
INFO  | 2018-09-26 11:23:56 | [main] ksergie.MainPage (MainPage.java:285) - Click the Get Started 3 button
